group	target	artifact	query	rc	result
corpus	boxed_i128__df	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i128__df/annotated_icfg_v2.json	leak_alloc	0	unk
corpus	boxed_i128__df	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i128__df/annotated_icfg_v2.json	leak_alloc_state	0	unk
corpus	boxed_i128__df	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i128__df/annotated_icfg_v2.json	mir_rvalue_presence	0	ff
corpus	boxed_i128__df	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i128__df/annotated_icfg_v2.json	mir_statement_presence	0	tt
corpus	boxed_i128__df	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i128__df/annotated_icfg_v2.json	mir_structural_allocator_example	0	ff
corpus	boxed_i128__df	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i128__df/annotated_icfg_v2.json	mir_terminator_presence	0	tt
corpus	boxed_i128__df	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i128__df/annotated_icfg_v2.json	use_after_free_alloc	0	ff
corpus	boxed_i128__df	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i128__df/annotated_icfg_v2.json	use_after_free_alloc_state	0	ff
corpus	boxed_i128__ml	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i128__ml/annotated_icfg_v2.json	allocator_mismatch_ub	0	ff
corpus	boxed_i128__ml	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i128__ml/annotated_icfg_v2.json	allocator_mismatch_ub_v2	0	ff
corpus	boxed_i128__ml	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i128__ml/annotated_icfg_v2.json	double_free_alloc	0	ff
corpus	boxed_i128__ml	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i128__ml/annotated_icfg_v2.json	double_free_alloc_state	0	ff
corpus	boxed_i128__ml	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i128__ml/annotated_icfg_v2.json	leak_alloc	0	unk
corpus	boxed_i128__ml	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i128__ml/annotated_icfg_v2.json	leak_alloc_state	0	unk
corpus	boxed_i128__ml	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i128__ml/annotated_icfg_v2.json	mir_rvalue_presence	0	ff
corpus	boxed_i128__ml	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i128__ml/annotated_icfg_v2.json	mir_statement_presence	0	tt
corpus	boxed_i128__ml	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i128__ml/annotated_icfg_v2.json	mir_structural_allocator_example	0	ff
corpus	boxed_i128__ml	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i128__ml/annotated_icfg_v2.json	mir_terminator_presence	0	tt
corpus	boxed_i128__ml	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i128__ml/annotated_icfg_v2.json	use_after_free_alloc	0	ff
corpus	boxed_i128__ml	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i128__ml/annotated_icfg_v2.json	use_after_free_alloc_state	0	ff
corpus	boxed_i128__uaf	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i128__uaf/annotated_icfg_v2.json	allocator_mismatch_ub	0	ff
corpus	boxed_i128__uaf	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i128__uaf/annotated_icfg_v2.json	allocator_mismatch_ub_v2	0	ff
corpus	boxed_i128__uaf	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i128__uaf/annotated_icfg_v2.json	double_free_alloc	0	unk
corpus	boxed_i128__uaf	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i128__uaf/annotated_icfg_v2.json	double_free_alloc_state	0	unk
corpus	boxed_i128__uaf	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i128__uaf/annotated_icfg_v2.json	leak_alloc	0	unk
corpus	boxed_i128__uaf	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i128__uaf/annotated_icfg_v2.json	leak_alloc_state	0	unk
corpus	boxed_i128__uaf	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i128__uaf/annotated_icfg_v2.json	mir_rvalue_presence	0	ff
corpus	boxed_i128__uaf	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i128__uaf/annotated_icfg_v2.json	mir_statement_presence	0	tt
corpus	boxed_i128__uaf	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i128__uaf/annotated_icfg_v2.json	mir_structural_allocator_example	0	ff
corpus	boxed_i128__uaf	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i128__uaf/annotated_icfg_v2.json	mir_terminator_presence	0	tt
corpus	boxed_i128__uaf	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i128__uaf/annotated_icfg_v2.json	use_after_free_alloc	0	unk
corpus	boxed_i128__uaf	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i128__uaf/annotated_icfg_v2.json	use_after_free_alloc_state	0	unk
corpus	boxed_i16__df	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i16__df/annotated_icfg_v2.json	allocator_mismatch_ub	0	ff
corpus	boxed_i16__df	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i16__df/annotated_icfg_v2.json	allocator_mismatch_ub_v2	0	ff
corpus	boxed_i16__df	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i16__df/annotated_icfg_v2.json	double_free_alloc	0	unk
corpus	boxed_i16__df	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i16__df/annotated_icfg_v2.json	double_free_alloc_state	0	unk
corpus	boxed_i16__df	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i16__df/annotated_icfg_v2.json	leak_alloc	0	unk
corpus	boxed_i16__df	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i16__df/annotated_icfg_v2.json	leak_alloc_state	0	unk
corpus	boxed_i16__df	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i16__df/annotated_icfg_v2.json	mir_rvalue_presence	0	ff
corpus	boxed_i16__df	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i16__df/annotated_icfg_v2.json	mir_statement_presence	0	tt
corpus	boxed_i16__df	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i16__df/annotated_icfg_v2.json	mir_structural_allocator_example	0	ff
corpus	boxed_i16__df	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i16__df/annotated_icfg_v2.json	mir_terminator_presence	0	tt
corpus	boxed_i16__df	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i16__df/annotated_icfg_v2.json	use_after_free_alloc	0	ff
corpus	boxed_i16__df	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i16__df/annotated_icfg_v2.json	use_after_free_alloc_state	0	ff
corpus	boxed_i16__ml	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i16__ml/annotated_icfg_v2.json	allocator_mismatch_ub	0	ff
corpus	boxed_i16__ml	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i16__ml/annotated_icfg_v2.json	allocator_mismatch_ub_v2	0	ff
corpus	boxed_i16__ml	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i16__ml/annotated_icfg_v2.json	double_free_alloc	0	ff
corpus	boxed_i16__ml	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i16__ml/annotated_icfg_v2.json	double_free_alloc_state	0	ff
corpus	boxed_i16__ml	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i16__ml/annotated_icfg_v2.json	leak_alloc	0	unk
corpus	boxed_i16__ml	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i16__ml/annotated_icfg_v2.json	leak_alloc_state	0	unk
corpus	boxed_i16__ml	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i16__ml/annotated_icfg_v2.json	mir_rvalue_presence	0	ff
corpus	boxed_i16__ml	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i16__ml/annotated_icfg_v2.json	mir_statement_presence	0	tt
corpus	boxed_i16__ml	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i16__ml/annotated_icfg_v2.json	mir_structural_allocator_example	0	ff
corpus	boxed_i16__ml	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i16__ml/annotated_icfg_v2.json	mir_terminator_presence	0	tt
corpus	boxed_i16__ml	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i16__ml/annotated_icfg_v2.json	use_after_free_alloc	0	ff
corpus	boxed_i16__ml	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i16__ml/annotated_icfg_v2.json	use_after_free_alloc_state	0	ff
corpus	boxed_i16__uaf	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i16__uaf/annotated_icfg_v2.json	allocator_mismatch_ub	0	ff
corpus	boxed_i16__uaf	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i16__uaf/annotated_icfg_v2.json	allocator_mismatch_ub_v2	0	ff
corpus	boxed_i16__uaf	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i16__uaf/annotated_icfg_v2.json	double_free_alloc	0	unk
corpus	boxed_i16__uaf	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i16__uaf/annotated_icfg_v2.json	double_free_alloc_state	0	unk
corpus	boxed_i16__uaf	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i16__uaf/annotated_icfg_v2.json	leak_alloc	0	unk
corpus	boxed_i16__uaf	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i16__uaf/annotated_icfg_v2.json	leak_alloc_state	0	unk
corpus	boxed_i16__uaf	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i16__uaf/annotated_icfg_v2.json	mir_rvalue_presence	0	ff
corpus	boxed_i16__uaf	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i16__uaf/annotated_icfg_v2.json	mir_statement_presence	0	tt
corpus	boxed_i16__uaf	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i16__uaf/annotated_icfg_v2.json	mir_structural_allocator_example	0	ff
corpus	boxed_i16__uaf	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i16__uaf/annotated_icfg_v2.json	mir_terminator_presence	0	tt
corpus	boxed_i16__uaf	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i16__uaf/annotated_icfg_v2.json	use_after_free_alloc	0	unk
corpus	boxed_i16__uaf	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i16__uaf/annotated_icfg_v2.json	use_after_free_alloc_state	0	unk
corpus	boxed_i32__df	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i32__df/annotated_icfg_v2.json	allocator_mismatch_ub	0	ff
corpus	boxed_i32__df	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i32__df/annotated_icfg_v2.json	allocator_mismatch_ub_v2	0	ff
corpus	boxed_i32__df	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i32__df/annotated_icfg_v2.json	double_free_alloc	0	unk
corpus	boxed_i32__df	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i32__df/annotated_icfg_v2.json	double_free_alloc_state	0	unk
corpus	boxed_i32__df	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i32__df/annotated_icfg_v2.json	leak_alloc	0	unk
corpus	boxed_i32__df	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i32__df/annotated_icfg_v2.json	leak_alloc_state	0	unk
corpus	boxed_i32__df	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i32__df/annotated_icfg_v2.json	mir_rvalue_presence	0	ff
corpus	boxed_i32__df	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i32__df/annotated_icfg_v2.json	mir_statement_presence	0	tt
corpus	boxed_i32__df	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i32__df/annotated_icfg_v2.json	mir_structural_allocator_example	0	ff
corpus	boxed_i32__df	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i32__df/annotated_icfg_v2.json	mir_terminator_presence	0	tt
corpus	boxed_i32__df	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i32__df/annotated_icfg_v2.json	use_after_free_alloc	0	ff
corpus	boxed_i32__df	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i32__df/annotated_icfg_v2.json	use_after_free_alloc_state	0	ff
corpus	boxed_i32__ml	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i32__ml/annotated_icfg_v2.json	allocator_mismatch_ub	0	ff
corpus	boxed_i32__ml	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i32__ml/annotated_icfg_v2.json	allocator_mismatch_ub_v2	0	ff
corpus	boxed_i32__ml	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i32__ml/annotated_icfg_v2.json	double_free_alloc	0	ff
corpus	boxed_i32__ml	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i32__ml/annotated_icfg_v2.json	double_free_alloc_state	0	ff
corpus	boxed_i32__ml	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i32__ml/annotated_icfg_v2.json	leak_alloc	0	unk
corpus	boxed_i32__ml	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i32__ml/annotated_icfg_v2.json	leak_alloc_state	0	unk
corpus	boxed_i32__ml	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i32__ml/annotated_icfg_v2.json	mir_rvalue_presence	0	ff
corpus	boxed_i32__ml	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i32__ml/annotated_icfg_v2.json	mir_statement_presence	0	tt
corpus	boxed_i32__ml	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i32__ml/annotated_icfg_v2.json	mir_structural_allocator_example	0	ff
corpus	boxed_i32__ml	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i32__ml/annotated_icfg_v2.json	mir_terminator_presence	0	tt
corpus	boxed_i32__ml	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i32__ml/annotated_icfg_v2.json	use_after_free_alloc	0	ff
corpus	boxed_i32__ml	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i32__ml/annotated_icfg_v2.json	use_after_free_alloc_state	0	ff
corpus	boxed_i32__uaf	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i32__uaf/annotated_icfg_v2.json	allocator_mismatch_ub	0	ff
corpus	boxed_i32__uaf	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i32__uaf/annotated_icfg_v2.json	allocator_mismatch_ub_v2	0	ff
corpus	boxed_i32__uaf	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i32__uaf/annotated_icfg_v2.json	double_free_alloc	0	unk
corpus	boxed_i32__uaf	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i32__uaf/annotated_icfg_v2.json	double_free_alloc_state	0	unk
corpus	boxed_i32__uaf	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i32__uaf/annotated_icfg_v2.json	leak_alloc	0	unk
corpus	boxed_i32__uaf	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i32__uaf/annotated_icfg_v2.json	leak_alloc_state	0	unk
corpus	boxed_i32__uaf	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i32__uaf/annotated_icfg_v2.json	mir_rvalue_presence	0	ff
corpus	boxed_i32__uaf	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i32__uaf/annotated_icfg_v2.json	mir_statement_presence	0	tt
corpus	boxed_i32__uaf	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i32__uaf/annotated_icfg_v2.json	mir_structural_allocator_example	0	ff
corpus	boxed_i32__uaf	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i32__uaf/annotated_icfg_v2.json	mir_terminator_presence	0	tt
corpus	boxed_i32__uaf	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i32__uaf/annotated_icfg_v2.json	use_after_free_alloc	0	unk
corpus	boxed_i32__uaf	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i32__uaf/annotated_icfg_v2.json	use_after_free_alloc_state	0	unk
corpus	boxed_i64__df	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i64__df/annotated_icfg_v2.json	allocator_mismatch_ub	0	ff
corpus	boxed_i64__df	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i64__df/annotated_icfg_v2.json	allocator_mismatch_ub_v2	0	ff
corpus	boxed_i64__df	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i64__df/annotated_icfg_v2.json	double_free_alloc	0	unk
corpus	boxed_i64__df	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i64__df/annotated_icfg_v2.json	double_free_alloc_state	0	unk
corpus	boxed_i64__df	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i64__df/annotated_icfg_v2.json	leak_alloc	0	unk
corpus	boxed_i64__df	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i64__df/annotated_icfg_v2.json	leak_alloc_state	0	unk
corpus	boxed_i64__df	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i64__df/annotated_icfg_v2.json	mir_rvalue_presence	0	ff
corpus	boxed_i64__df	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i64__df/annotated_icfg_v2.json	mir_statement_presence	0	tt
corpus	boxed_i64__df	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i64__df/annotated_icfg_v2.json	mir_structural_allocator_example	0	ff
corpus	boxed_i64__df	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i64__df/annotated_icfg_v2.json	mir_terminator_presence	0	tt
corpus	boxed_i64__df	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i64__df/annotated_icfg_v2.json	use_after_free_alloc	0	ff
corpus	boxed_i64__df	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/boxed_i64__df/annotated_icfg_v2.json	use_after_free_alloc_state	0	ff
